ACP - LISBOA,6748,6531,"68,04%",6600,6479,"70,13%",13348,13010,"69,09%"
ACP - PORTO,15952,15545,"73,53%",20029,19715,"59,09%",35981,35260,"65,45%"
ANIECA_Linda a Velha,1484,1397,"73,09%",12548,12340,"67,50%",14032,13737,"68,06%"
APEC - Lisboa,1964,1909,"69,09%",22554,22350,"61,94%",24518,24259,"62,50%"
IMT Lisboa,6200,5890,"63,79%",868,835,"75,21%",7068,6725,"65,20%"
IMT Lisboa - Sobral de Monte Agraço,4811,4636,"71,68%",787,781,"88,35%",5598,5417,"74,08%"
IMT Vila Real-Chaves,8687,8441,"67,37%",733,715,"78,60%",9420,9156,"68,25%"
ANIECA _Albergaria a Velha,11924,11570,"68,23%",10097,9455,"66,99%",22021,21025,"67,67%"
AHBVT - Mirandela,13316,12833,"67,55%",2314,2270,"68,59%",15630,15103,"67,71%"
ANIECA_Penafiel,8261,8123,"68,95%",10131,10034,"61,81%",18392,18157,"65,01%"
AHBVT - Portimão,7658,7468,"68,59%",6350,6279,"58,99%",14008,13747,"64,20%"
ANIECA_Porto de Mós,6939,6773,"72,46%",8721,8642,"64,98%",15660,15415,"68,27%"
AHBVT - Tábua,22053,21179,"68,17%",5698,5572,"67,03%",27751,26751,"67,93%"
ANIECA_Vila Verde,3688,3595,"69,46%",7486,7319,"69,07%",11174,10914,"69,20%"
ANIECA_Barreiro,1753,1674,"67,80%",11132,11002,"67,61%",12885,12676,"67,63%"
AHBVT - Fundão,7516,7240,"72,87%",1957,1908,"52,15%",9473,9148,"68,55%"
IMT Guarda,566,504,"71,03%",1182,1147,"55,10%",1748,1651,"59,96%"
IMT Aveiro,931,888,"73,65%",3436,3405,"69,31%",4367,4293,"70,21%"
IMT Beja,3044,2924,"75,48%",1612,1582,"72,63%",4656,4506,"74,48%"
IMT Braga,1435,1405,"68,40%",6892,6755,"85,54%",8327,8160,"82,59%"
IMT Bragança,1341,1306,"62,48%",584,575,"64,87%",1925,1881,"63,21%"
IMT Castelo Branco,913,890,"71,57%",1138,1121,"52,99%",2051,2011,"61,21%"
IMT Leiria,1168,1147,"70,62%",1290,1279,"77,09%",2458,2426,"74,03%"
IMT Portalegre,894,829,"67,55%",1208,1152,"85,59%",2102,1981,"78,04%"
IMT Santarém,942,888,"71,73%",1775,1742,"79,74%",2717,2630,"77,03%"
IMT Setúbal,1366,1326,"69,00%",1257,1233,"77,29%",2623,2559,"73,00%"
IMT Viana do Castelo,5191,4951,"70,98%",2960,2922,"87,30%",8151,7873,"77,04%"
IMT Vila Real,1961,1897,"71,64%",1739,1691,"74,51%",3700,3588,"72,99%"
IMT Viseu,1401,1333,"65,27%",2384,2328,"54,38%",3785,3661,"58,34%"
IMT Coimbra,3619,3539,"70,58%",2963,2870,"56,55%",6582,6409,"64,30%"
IMT Évora,1771,1716,"71,97%",1396,1370,"74,53%",3167,3086,"73,10%"
IMT Faro,834,813,"69,86%",1625,1586,"63,43%",2459,2399,"65,61%"
IMT Porto,1934,1864,"72,37%",4613,4512,"67,31%",6547,6376,"68,79%"
Total Geral,158265,153024,"69,58%",166059,162966,"66,18%",324324,315990,"67,82%"
