16,631,605,"81,16%",2505,2463,"88,14%",3136,3068,"86,77%"
17,556,544,"82,35%",2005,1956,"86,50%",2561,2500,"85,60%"
18,23935,23521,"70,04%",29700,29231,"80,48%",53635,52752,"75,82%"
19,18179,17847,"64,56%",16105,15799,"73,52%",34284,33646,"68,77%"
20,9661,9488,"61,48%",8351,8180,"70,50%",18012,17668,"65,66%"
21,5936,5826,"61,12%",5738,5630,"72,88%",11674,11456,"66,90%"
22,4277,4182,"59,18%",4261,4176,"73,61%",8538,8358,"66,39%"
23,3306,3256,"58,78%",3153,3078,"74,59%",6459,6334,"66,47%"
24,2698,2649,"57,91%",3351,3281,"77,26%",6049,5930,"68,62%"
25,2305,2254,"55,86%",2765,2703,"79,21%",5070,4957,"68,59%"
26,1853,1813,"56,92%",2477,2423,"80,35%",4330,4236,"70,33%"
27,1685,1645,"53,86%",2093,2044,"79,11%",3778,3689,"67,85%"
28,1527,1489,"57,96%",1934,1890,"78,52%",3461,3379,"69,46%"
29,1243,1211,"57,39%",1699,1652,"81,48%",2942,2863,"71,29%"
30,1227,1194,"55,36%",1546,1508,"85,68%",2773,2702,"72,28%"
31,1106,1081,"55,50%",1517,1484,"84,77%",2623,2565,"72,44%"
32,933,914,"52,30%",1395,1362,"82,75%",2328,2276,"70,52%"
33,957,936,"52,24%",1251,1218,"85,96%",2208,2154,"71,31%"
34,908,897,"52,95%",1278,1238,"82,88%",2186,2135,"70,30%"
35,888,873,"52,12%",1179,1153,"83,78%",2067,2026,"70,14%"
36,840,820,"52,80%",1230,1190,"83,03%",2070,2010,"70,70%"
37,735,722,"48,75%",1077,1043,"83,13%",1812,1765,"69,07%"
38,659,645,"48,06%",996,966,"84,16%",1655,1611,"69,71%"
39,671,649,"49,92%",926,902,"83,48%",1597,1551,"69,44%"
40,635,618,"45,15%",944,926,"85,21%",1579,1544,"69,17%"
41,594,577,"47,14%",816,795,"83,52%",1410,1372,"68,22%"
42,586,571,"44,83%",852,828,"84,66%",1438,1399,"68,41%"
43,517,503,"40,76%",679,657,"84,02%",1196,1160,"65,26%"
44,513,499,"41,88%",681,667,"82,61%",1194,1166,"65,18%"
45,477,465,"45,16%",610,589,"82,17%",1087,1054,"65,84%"
46,433,418,"40,19%",544,523,"83,17%",977,941,"64,08%"
47,338,329,"39,82%",485,478,"79,92%",823,807,"63,57%"
48,371,357,"36,97%",454,442,"77,83%",825,799,"59,57%"
49,331,323,"36,84%",369,359,"83,01%",700,682,"61,14%"
50,328,317,"32,18%",349,338,"82,54%",677,655,"58,17%"
51,321,313,"31,95%",296,279,"82,08%",617,592,"55,57%"
52,303,287,"36,59%",269,263,"79,09%",572,550,"56,91%"
53,261,251,"31,47%",223,216,"76,85%",484,467,"52,46%"
54,256,246,"30,89%",237,230,"81,74%",493,476,"55,46%"
55,246,238,"33,19%",237,229,"75,98%",483,467,"54,18%"
56,268,260,"33,46%",171,166,"78,92%",439,426,"51,17%"
57,187,181,"33,15%",159,156,"74,36%",346,337,"52,23%"
58,184,175,"31,43%",159,156,"77,56%",343,331,"53,17%"
59,183,170,"31,76%",123,121,"80,17%",306,291,"51,89%"
60,229,221,"42,08%",197,192,"77,08%",426,413,"58,35%"
61,117,111,"26,13%",74,69,"78,26%",191,180,"46,11%"
62,86,84,"32,14%",63,61,"81,97%",149,145,"53,10%"
63,84,80,"16,25%",45,43,"81,40%",129,123,"39,02%"
64,87,85,"22,35%",43,42,"92,86%",130,127,"45,67%"
65,78,74,"48,65%",108,100,"76,00%",186,174,"64,37%"
66,57,54,"27,78%",47,45,"80,00%",104,99,"51,52%"
67,56,53,"22,64%",56,51,"82,35%",112,104,"51,92%"
68,34,32,"15,63%",37,36,"72,22%",71,68,"45,59%"
69,18,18,"16,67%",30,28,"75,00%",48,46,"52,17%"
70,29,28,"17,86%",25,23,"73,91%",54,51,"43,14%"
71,15,13,"23,08%",14,13,"84,62%",29,26,"53,85%"
72,14,13,"23,08%",13,9,"88,89%",27,22,"50,00%"
73,3,2,"50,00%",12,11,"81,82%",15,13,"76,92%"
74,1,1,"100,00%",10,9,"100,00%",11,10,"100,00%"
75,1,1,"0,00%",8,8,"62,50%",9,9,"55,56%"
76,0,0,nan,3,3,"100,00%",3,3,"100,00%"
77,1,1,"100,00%",3,3,"100,00%",4,4,"100,00%"
78,0,0,nan,4,4,"50,00%",4,4,"50,00%"
79,0,0,nan,2,2,"50,00%",2,2,"50,00%"
80,0,0,nan,2,2,"50,00%",2,2,"50,00%"
81,0,0,nan,4,4,"75,00%",4,4,"75,00%"
82,0,0,nan,1,1,"0,00%",1,1,"0,00%"
85,0,0,nan,2,0,nan,2,0,#DIV/0!
86,0,0,nan,3,3,"33,33%",3,3,"33,33%"
Total Geral,94958,93030,"60,85%",107995,105750,"78,45%",202953,198780,"70,21%"
